Account name,Date,Transaction type,Transaction number,Name,Description,Full name,Account name,Amount line,Balance
Donations directed by individuals,11/26/2023,Deposit,6EF80245SG352483H,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$30.00,"$3,933.31"
PayPal Fees,11/26/2023,Deposit,6EF80245SG352483H,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.09,"$3,934.40"
PayPal Bank 3,11/25/2023,Deposit,0GX27528B5408582P,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 0GX27528B5408582Phttps://www.paypal.com/activity/payment/0GX27528B5408582P,PayPal Bank 3,--,$18.71,"$3,953.11"
Donations directed by individuals,11/25/2023,Deposit,0GX27528B5408582P,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$19.89,"$3,973.00"
PayPal Fees,11/25/2023,Deposit,0GX27528B5408582P,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.18,"$3,974.18"
PayPal Bank 3,11/25/2023,Deposit,7KW29049S07432908,07 1000 DRONES RESTR,Subject: 1000DRONESTransaction ID: 7KW29049S07432908https://www.paypal.com/activity/payment/7KW29049S07432908,PayPal Bank 3,--,$49.23,"$4,023.41"
Donations directed by individuals,11/25/2023,Deposit,7KW29049S07432908,07 1000 DRONES RESTR,1000 DRONES FOR UKRAINE - 1000 DRONES FOR UKRAINE,Contributed income:Donations directed by individuals,PayPal Bank 3,$51.52,"$4,074.93"
PayPal Fees,11/25/2023,Deposit,7KW29049S07432908,07 1000 DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.29,"$4,077.22"
PayPal Bank 3,11/25/2023,Deposit,4T684250T6132730G,07 1000 DRONES RESTR,Subject: GeneralPageNote: На люті пташкиTransaction ID: 4T684250T6132730Ghttps://www.paypal.com/activity/payment/4T684250T6132730G,PayPal Bank 3,--,$590.81,"$4,668.03"
Donations directed by individuals,11/25/2023,Deposit,4T684250T6132730G,07 1000 DRONES RESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$612.68,"$5,280.71"
